global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
66712,episode_end,182.75596074090197,1000,0.15272906323642332,200.0,,,,,
67000,train_step,,,0.1561033091304159,200.0,67000,36.901607513427734,-6.80017614364624,2.159166097640991,0.29560914635658264
67712,episode_end,154.34183255842814,1000,0.15665547125059734,200.0,,,,,
67854,episode_end,255.162596202185,142,0.15591387397772688,200.0,,,,,
68000,train_step,,,0.1558114049164916,200.0,68000,250.0918731689453,-5.241118431091309,2.139798164367676,0.25989988446235657
68854,episode_end,214.24868838007,1000,0.15724578876152256,200.0,,,,,
69000,train_step,,,0.157492699456887,200.0,69000,26.124494552612305,-1.101243257522583,1.9291949272155762,-0.13087445497512817
69854,episode_end,-10.275522992503637,1000,0.1521994539539136,200.0,,,,,
70000,train_step,,,0.15043604129781502,200.0,70000,197.29904174804688,3.6064515113830566,2.080040693283081,0.15161456167697906
70854,episode_end,183.41185966084043,1000,0.15226057977535473,200.0,,,,,
71000,train_step,,,0.15230190257948162,200.0,71000,49.330291748046875,-7.062016487121582,2.235665798187256,0.4434968829154968
71854,episode_end,174.55313028599815,1000,0.15116327424909326,200.0,,,,,
72000,train_step,,,0.14974515621535392,200.0,72000,21.242013931274414,8.260050773620605,1.811476230621338,-0.35797274112701416
72854,episode_end,145.77343450353465,1000,0.15061386103432672,200.0,,,,,
73000,episode_end,214.98579540790809,146,0.14989010164427813,200.0,,,,,
73000,train_step,,,0.14989010164427813,200.0,73000,118.80989074707031,-7.330681800842285,1.9825317859649658,-0.03315233439207077
74000,episode_end,146.49261664817408,1000,0.1458456422885029,200.0,,,,,
74000,train_step,,,0.1458456422885029,200.0,74000,51.77008819580078,5.218835830688477,2.1499879360198975,0.2887573838233948
75000,episode_end,165.59317490885343,1000,0.14009761090981174,200.0,,,,,
75000,train_step,,,0.14009761090981174,200.0,75000,214.67501831054688,-4.387538909912109,1.9624345302581787,-0.07383211702108383
75132,episode_end,209.98245779717092,132,0.1378308653761164,200.0,,,,,
76000,train_step,,,0.13723478388023433,200.0,76000,36.477508544921875,0.6667013168334961,1.8445501327514648,-0.30873310565948486
76132,episode_end,142.87496360447753,1000,0.13746569010265144,200.0,,,,,
77000,train_step,,,0.13873626868354105,200.0,77000,48.861228942871094,-4.610648155212402,2.324903964996338,0.6417436599731445
77132,episode_end,163.34470332167157,1000,0.1404425980553646,200.0,,,,,
78000,train_step,,,0.1364990815707844,200.0,78000,27.50956916809082,-5.05217981338501,1.8171741962432861,-0.36408618092536926
78132,episode_end,200.87949702168632,1000,0.13645106656441558,200.0,,,,,
78231,episode_end,157.48172636758125,99,0.13724019883865818,200.0,,,,,
78338,episode_end,26.488841030565155,107,0.1382100374480127,200.0,,,,,
78448,episode_end,-11.737204265182285,110,0.13877728877337975,200.0,,,,,
79000,train_step,,,0.13479788318315133,200.0,79000,26.088274002075195,-5.631628513336182,1.9369323253631592,-0.1263863444328308
79448,episode_end,-12.940985297285902,1000,0.13360851739500237,200.0,,,,,
80000,train_step,,,0.13550095204270965,200.0,80000,26.475902557373047,-3.982203483581543,1.974939227104187,-0.050090860575437546
80448,episode_end,146.31661598595747,1000,0.13124268086825316,200.0,,,,,
80538,episode_end,216.77878532699918,90,0.13079279978696853,200.0,,,,,
80686,episode_end,225.14017721849,148,0.13039405276461488,200.0,,,,,
81000,train_step,,,0.130873158263835,200.0,81000,45.8544921875,-3.583191394805908,2.18228816986084,0.3706872761249542
81686,episode_end,222.90666034837807,1000,0.13285382596679934,200.0,,,,,
82000,train_step,,,0.13522100828959385,200.0,82000,66.19647216796875,0.9453577995300293,2.0929346084594727,0.18594783544540405
82686,episode_end,225.97510233701607,1000,0.13716699156266557,200.0,,,,,
82793,episode_end,122.24137023826663,107,0.13660475981314577,200.0,,,,,
83000,train_step,,,0.13518803734242102,200.0,83000,40.65399169921875,0.8930230140686035,2.0613975524902344,0.1228620857000351
83793,episode_end,147.56316670462442,1000,0.1377509338582371,200.0,,,,,
84000,train_step,,,0.13757934952160703,200.0,84000,275.08935546875,1.9318735599517822,2.335211992263794,0.6649112701416016
